id,delivery_datetime,mailing_status,alert_types,critical_topic,press_sources,social_media_sources,social_media_engagements,repercussions,stakeholders,criticality_level,title,alert_text,profiles_or_portals,urls,history,is_repercussion,previous_alerts_ids,subcategories,categories
b0e92b73-d15e-4cf7-a56f-818b8d72eda9,2025-12-22 16:45:00.000000 UTC,MAILING_SENT,[PRESS],[NEGATIVE_RESULTS],"[ONE_RELEVANT_VEHICLE,MENTIONS_BB_IN_TITLE,NICHE_PUBLISHER]",[],[],[],"[PRESS_JOURNALISTS,CLIENT_SOCIETY]",LEVEL_1,InfoMoney aponta prejuízo em investimento no Banco do Brasil (BBAS3) apesar dos dividendos,"Dia (22), às 12h47, o portal *InfoMoney* (https://www.infomoney.com.br/onde-investir/quanto-voce-teria-hoje-se-tivesse-investido-no-banco-do-brasil-bbas3-ha-um-ano/ ), com aproximadamente 54 mil acessos por dia, publicou: “*Quanto você teria hoje se tivesse investido no Banco do Brasil (BBAS3) há um ano? *”. A matéria do InfoMoney destaca que apesar de o Banco do Brasil (BBAS3) manter forte geração de caixa e pagar dividendos recorrentes, o investimento na ação nos últimos 12 meses teria resultado em prejuízo. 



*",[Infomoney],[https://www.infomoney.com.br/onde-investir/quanto-voce-teria-hoje-se-tivesse-investido-no-banco-do-brasil-bbas3-ha-um-ano/],,false,[],[INSTITUTIONAL_BALANCES_AND_RESULTS],[INSTITUTIONAL]
84dddf89-a072-4269-930b-942c62b4171f,2025-12-16 12:00:00.000000 UTC,EMAIL_SENT,[PRESS],[RELEVANT_POLITICAL_FIGURES],[ONE_RELEVANT_VEHICLE],[],[],[],"[PRESS_JOURNALISTS,POLITICAL_ACTORS_PUBLIC_AGENCIES,CLIENT_SOCIETY]",LEVEL_1,"Em matéria publicada pela Carta Capital, há um equívoco na citação ao Banco do Brasil no que se refere à realização de diligências no caso Banco Maste","O início das diligências relacionadas ao caso do Banco Master ganhou destaque no noticiário nos últimos dias. Diversos portais informaram que dirigentes do Banco Central serão ouvidos para prestar esclarecimentos sobre as atividades do Banco Master e seus possíveis desdobramentos em outras instituições financeiras. No entanto, a Carta Capital, diferentemente dos demais veículos, destacou — por equívoco — que seriam dirigentes do Banco do Brasil os convocados a prestar esclarecimentos.

Dia (15), às 20h15, o portal *Carta Capital* (https://www.cartacapital.com.br/justica/toffoli-manda-a-pf-realizar-diligencias-urgentes-no-caso-do-banco-master/ ), com aproximadamente 363 mil visitantes por dia e um alcance de 257 contas, publicou: “*Toffoli manda a PF realizar diligências urgentes no caso do Banco Master*”. O ministro do Supremo Tribunal Federal Dias Toffoli determinou, nesta segunda-feira 15, a realização de “diligências urgentes” nas investigações sobre o Banco Master, de Daniel Vorcaro. *Os investigados deverão esclarecer as denúncias e apresentar documentos, também serão ouvidos, os dirigentes do Banco do Brasil sobre questões de sua atribuição envolvendo as atividades do Master e possíveis desdobramentos com outras instituições financeiras.*

A mesma matéria foi reportada no portal Lulaflix (https://lulaflix.com.br/toffoli-manda-a-pf-realizar-diligencias-urgentes-no-caso-do-banco-master/), em cópia a matéria da Carta Capital



*",[Carta Capital],[https://www.cartacapital.com.br/justica/toffoli-manda-a-pf-realizar-diligencias-urgentes-no-caso-do-banco-master/],,false,[],[LEGAL_GENERAL],[LEGAL]
e0e315aa-e588-4424-93a3-a64ded4ca9a4,2025-12-16 13:00:00.000000 UTC,EMAIL_SENT,[PRESS],[RELEVANT_POLITICAL_FIGURES],"[ONE_RELEVANT_VEHICLE,NICHE_PUBLISHER]",[],[],[],"[PRESS_JOURNALISTS,POLITICAL_ACTORS_PUBLIC_AGENCIES]",LEVEL_1,Banco do Brasil é citado indiretamente em investigação da PF sobre fraude em licitações envolvendo deputado do MDB,"Dia (16), às 09h14, o portal Folha de São Paulo (https://www1.folha.uol.com.br/poder/2025/12/pf-faz-busca-e-apreensao-contra-deputado-do-mdb-em-investigacao-sobre-fraude-em-licitacoes.shtml ), com aproximadamente 438 mil visitantes por dia e um alcance de 977 contas, publicou: “PF faz busca e apreensão contra deputado do MDB em investigação sobre fraude em licitações”. A Polícia Federal cumpre, nesta terça-feira (16), mandado de busca e apreensão contra o deputado federal Antônio Leocádio dos Santos, o Antônio Doido (MDB-PA), na investigação sobre desvio de verbas públicas por meio de fraudes em licitações. Em 2024, foram apreendidos R$ 4,9 milhões antes do primeiro turno das eleições com um policial militar ligado a Antônio Doido, que sacou o dinheiro no Banco do Brasil de Castanhal (PA). Embora o Banco do Brasil não seja alvo da investigação nem citado como parte envolvida em irregularidades, a menção ao saque em uma agência da instituição associa o nome do banco a um caso de corrupção, fraude em licitações e lavagem de dinheiro, o que pode gerar repercussões reputacionais.",[Folha de São Paulo],[https://www1.folha.uol.com.br/poder/2025/12/pf-faz-busca-e-apreensao-contra-deputado-do-mdb-em-investigacao-sobre-fraude-em-licitacoes.shtml],,false,[],[SECURITY_EXTERNAL_SCAMS_AND_FRAUDS],[SECURITY]
250cfecb-d580-4f13-9f75-385615ed4ce0,2025-12-16 17:00:00.000000 UTC,EMAIL_SENT,[SOCIAL_MEDIA],"[LABOR_ISSUES,ABUSIVE_CONDUCT]","[MENTIONS_BB_IN_TITLE,BB_IMAGE_OR_VIDEO]",[NICHE_PUBLISHER],[],[],"[CLIENT_SOCIETY,PRESS_JOURNALISTS,UNIONS_EMPLOYEES]",LEVEL_1,Sindicato condena estratégia do Banco do Brasil de realocação de clientes em Salvador (BA),"Dia (16), às 10h31, o perfil *Bancários Bahia @bancariosbahia* publicou no X (https://x.com/bancariosbahia/status/2000921660208419003 ): ""*BB copia bancos privados e realoca clientes*"". O perfil possui 3.430 seguidores, com alcance estimado de 2.202 contas. A publicação acumula 11 visualizações e sem interações até o momento. 

Com o link para a matéria: https://www.bancariosbahia.org.br/noticias/7-brasil/42078,bb-copia-bancos-privados-e-realoca-clientes.html. O texto repudia medida do Banco em *retirar os atendentes humanos da agência Liberdade, localizada na capital Salvador*. O sindicato menciona que a decisão foi mantida mesmo após o *sindicato ter apresentado argumentos contestando o baixo fluxo de clientes na unidade*, motivação alegada pelo Banco do Brasil para o feito.

*",[Bancários Bahia @bancariosbahia],[https://x.com/bancariosbahia/status/2000921660208419003],,false,[],[PEOPLE_UNIONS],[PEOPLE]
9167fe8f-5b10-4000-9569-8806f73c2ec3,2025-12-15 19:30:00.000000 UTC,EMAIL_SENT,[SOCIAL_MEDIA],[SYSTEM_UNAVAILABILITY],[],[BB_IMAGE_OR_VIDEO],[INTERACTIONS_250],[],"[CLIENT_SOCIETY,PRESS_JOURNALISTS]",LEVEL_1,Atendimento suspenso na agência do Banco do Brasil em Irecê (BA) por falta de energia elétrica,"Dia (15), o perfil no Instagram Irecê Repórter @irecereporter (https://www.instagram.com/p/DSSon8lkeiw/) publicou que a agência do Banco do Brasil em Irecê está com atendimento suspenso por falta de energia elétrica desde domingo (14), sem previsão oficial de normalização até esta segunda-feira (15). Técnicos da Neoenergia Coelba atuam para identificar a falha. O banco informou que o atendimento será retomado gradualmente após o restabelecimento da energia e orienta os clientes a utilizarem os canais digitais durante o período. O perfil possui 242 mil seguidores, mais de 291 interações.",[@irecereporter],[https://www.instagram.com/p/DSSon8lkeiw/],,false,[],[CUSTOMER_RELATIONS_AGENCIES],[CUSTOMER_RELATIONS]
5be24f04-3a54-4f3d-b31b-c58da9713739,2025-12-20 22:00:00.000000 UTC,EMAIL_SENT,[SOCIAL_MEDIA],"[NEGATIVE_RESULTS,MARKET_VARIATION]",[],"[NICHE_PUBLISHER,MACRO_INFLUENCER,MICRO_INFLUENCER]",[INTERACTIONS_250],[],[CLIENT_SOCIETY],LEVEL_1,Comparação negativa entre BBAS3 e BBDC4 levanta questionamentos sobre desempenho das ações,"Dia (20), às 10h00, o perfil *@dicadehoje_7
Daniel Nigri - Dica de Hoje Research* publicou no Instagram (https://www.instagram.com/p/DSfH7-dgJxE/ ): ""*#BBAS3 Lucro caiu 60% no ano e a ação caiu 25% desde a máxima. #BBDC4 Lucro subiu 30% no ano e a ação caiu 35% desde a máxima. Alguém me explica a lógica?*"". O perfil possui 145 mil seguidores, com alcance estimado de 12.942 contas. A publicação tem 563 interações até o momento. 



*","[@dicadehoje_7,Daniel Nigri - Dica de Hoje Research]",[https://www.instagram.com/p/DSfH7-dgJxE/],,false,[],[INSTITUTIONAL_BALANCES_AND_RESULTS],[INSTITUTIONAL]
5c59fbe2-d4af-4bf6-be21-eec77957ea36,2025-12-20 16:30:00.000000 UTC,EMAIL_SENT,[PRESS],"[ABUSIVE_CONDUCT,LABOR_ISSUES]","[ONE_RELEVANT_VEHICLE,MENTIONS_BB_IN_TITLE,MENTIONS_BB_IN_SUBTITLE,BB_IMAGE_OR_VIDEO,NICHE_PUBLISHER]",[],[],[],"[UNIONS_EMPLOYEES,PRESS_JOURNALISTS]",LEVEL_2,Justiça do Trabalho determina suspensão de coação a funcionários em programa de aumento de jornada do Banco do Brasil,"Dia (20), às 10h31, o portal Folha de S.Paulo – Painel SA (https://www1.folha.uol.com.br/colunas/painelsa/2025/12/banco-do-brasil-coagiu-funcionarios-diz-justica-do-trabalho.shtml), com aproximadamente 427 mil acessos por dia, publicou: “Banco do Brasil coagiu funcionários em programa de aumento de jornada, diz Justiça do Trabalho”. A Justiça do Trabalho determinou que o Banco do Brasil suspenda imediatamente qualquer ato de descomissionamento, dispensa de função ou redução salarial de assessores de unidades estratégicas, caso não aceitem voluntariamente alterar a jornada de trabalho de 6 para 8 horas. A magistrada fixou multa diária de até R$ 2.000 por trabalhador, limitada a R$ 200 mil, caso o banco continue a coagir os funcionários. O programa de reestruturação pode continuar, desde que a adesão seja verdadeiramente voluntária.

A decisão também foi noticiada pelo portal do Sindicato dos Bancários de Brasília (https://bancariosdf.com.br/decisao-judicial-suspende-qualquer-ato-de-descomissionamento-no-bb/), reforçando a luta pelos direitos.","[Folha de S.Paulo – Painel SA,Sindicato dos Bancários de Brasília]","[https://bancariosdf.com.br/decisao-judicial-suspende-qualquer-ato-de-descomissionamento-no-bb/,https://www1.folha.uol.com.br/colunas/painelsa/2025/12/banco-do-brasil-coagiu-funcionarios-diz-justica-do-trabalho.shtml]",,false,[],"[PEOPLE_EMPLOYEES,PEOPLE_UNIONS]",[PEOPLE]
08562cca-f2a7-4813-9e0e-dd4bd6f699ed,2025-12-19 15:30:00.000000 UTC,MAILING_SENT,"[SOCIAL_MEDIA,PRESS]",[SYSTEM_UNAVAILABILITY],"[NICHE_PUBLISHER,MENTIONS_BB_IN_TITLE,MENTIONS_BB_IN_SUBTITLE,BB_IMAGE_OR_VIDEO]",[],[],[],"[PRESS_JOURNALISTS,CLIENT_SOCIETY]",LEVEL_1,Usuários relatam instabilidade no aplicativo do Banco do Brasil e dificuldades para realizar PIX nas redes sociais,"Até o momento, a instabilidade no aplicativo do Banco do Brasil e as dificuldades para realização de PIX vêm sendo relatadas principalmente por usuários comuns, com baixo alcance e engajamento nas redes sociais, havendo registro do tema em um portal relevante.

Dia (19), às 11h12, o portal TechTudo (https://www.techtudo.com.br/noticias/2025/12/banco-do-brasil-caiu-usuarios-relatam-instabilidade-hoje-19-edapps.ghtml ), com aproximadamente 308 mil visitantes por dia e um alcance de 891 contas, publicou: “Banco do Brasil caiu? Usuários relatam instabilidade hoje (19)”.  O app do Banco do Brasil está fora do ar hoje (19) para alguns usuários. De acordo com relatos nas redes sociais, os erros envolvem o acesso a conta e a realização de pagamentos. A instabilidade do app também foi reportada pelo Downdetector, site que monitora o funcionamento de serviços digitais, com mais de 600 notificações por volta de 10h30 desta sexta-feira.

Envios Anteriores:

Dia (19), às 10h42, o perfil *felipe
@feavoidrone* publicou no X (https://x.com/feavoidrone/status/2002011755338182790 ): ""BANCO DO BRASIL DO CARALHO QUERO FAZER UM PIX"". O perfil possui 740 seguidores, com alcance estimado de 1.169 contas. A publicação acumula 103 visualizações e 1 interação até o momento.

Dia (19), às 10h31, o perfil *isinha
@isissalanna* publicou no X (https://x.com/isissalanna/status/2002008835247194114 ): ""queria saber oq desgraça deu no app do banco do brasil hj p bugar quando eu mais preciso"". O perfil possui 300 seguidores, com alcance estimado de 266 contas. A publicação acumula 226 visualizações e 1 interação até o momento.

Dia (19), às 10h26, o perfil Danielle @Pinhodanyx publicou no X (https://x.com/Pinhodany/status/2002007632685469732 ): ""Poxa! O Banco do Brasil tá de sacanagem logo de manhã cedo"". O perfil possui 568 seguidores, sem alcance estimado de contas. A publicação acumula 75 visualizações e sem interação até o momento.

Dia (19), às 10h24, o perfil henry | elusive camp @visionsaway publicou no X (https://x.com/visionsaway/status/2002007099857866752 ): ""MANO DE NOVO O BANCO DO BRASIL CAIU NAO EH POSSIVEL DEMITAM EXONEREM TODOS OS TI DESSE MUQUIFO PAVOR"". O perfil possui 408 seguidores, sem alcance estimado de contas. A publicação acumula 124 visualizações e sem interação até o momento.

Dia (19), às 10h23, o perfil Ryan @ryeesparrama publicou no X (https://x.com/ryeesparrama/status/2002006831862886694 ): ""quando vc mais precisa o banco do brasil é o primeiro a solta sua mão"".  O perfil possui 291 seguidores, sem alcance estimado de contas. A publicação acumula 175 visualizações e sem interação até o momento.

Dia (19), às 10h21, o perfil gabriulo @balsamobemgay publicou no X (https://x.com/balsamobemgay/status/2002006447886893223 ): ""arruma esse lixo de app que não faz pix @BancodoBrasil"". O perfil possui 208 seguidores, sem alcance estimado de contas. A publicação acumula 1 visualização e sem interação até o momento.

Dia (19), às 10h21, o perfil Bruninho @JhenissonBruno publicou no X (https://x.com/JhenissonBruno/status/2002006430141067604 ): ""Porra, o Banco do Brasil como sempre…"". O perfil possui 1.068 seguidores, sem alcance estimado de contas. A publicação acumula 114 visualizações e sem interação até o momento.

Dia (19), às 10h20, o perfil *mochi joon 🐰
@joon_mochi* publicou no X (https://x.com/joon_mochi/status/2002006083825770763 ): ""Banco do Brasil eu te odeio muitooooo vsf que odio"". O perfil possui 15 seguidores, sem alcance estimado de contas. A publicação acumula 1 visualização e sem interação até o momento.

Dia (19), às 08h06, o perfil Loba marrenta @v1d4l0k4x publicou no X (https://x.com/v1d4l0k4x/status/2001972322702680557 ): ""Banco do Brasil querendo fazer eu surtar antes das 8h da manha EU SÓ QUERO PAGAR A CONTA INFERNO"". O perfil possui 79 seguidores, sem alcance estimado de contas. A publicação acumula 19 visualizações e 1 interação até o momento.",[TechTudo e outros],[https://www.techtudo.com.br/noticias/2025/12/banco-do-brasil-caiu-usuarios-relatam-instabilidade-hoje-19-edapps.ghtml],,false,[],[SYSTEM_INSTABILITY_GENERAL],[SYSTEM_INSTABILITY]
747f6a40-de43-4837-8593-335b000e2fd3,2025-12-20 13:00:00.000000 UTC,EMAIL_SENT,[PRESS],[MARKET_VARIATION],"[GROUP_B,THREE_RELEVANT_VEHICLES,NICHE_PUBLISHER]",[],[],[],"[PRESS_JOURNALISTS,CLIENT_SOCIETY]",LEVEL_1,"Ações do Banco do Brasil (BBAS3) recuam 0,69% em dia de vencimento de opções","Dia (19), às 18h52, o portal InfoMoney (https://www.infomoney.com.br/mercados/ibovespa-avanca-apoiado-por-itau-e-bradesco-em-dia-com-vencimento-de-opcoes/
), com aproximadamente 373 mil acessos por dia, publicou: “Ibovespa avança apoiado por Itaú e Bradesco em dia com vencimento de opções”. As ações do Banco do Brasil (BBAS3) recuaram 0,69% no pregão, apresentando desempenho inferior ao índice de referência do mercado.

Dia (19), às 18h41, o portal Terra (https://www.terra.com.br/economia/ibovespa-avanca-apoiado-por-itau-e-bradesco-em-dia-com-vencimento-de-opcoes,e45f8a2c1d40de22f9c90d14dc33535b8nk4swge.html), com aproximadamente 1 milhão de acessos por dia, publicou: “Ibovespa avança apoiado por Itaú e Bradesco em dia com vencimento de opções”. As ações do Banco do Brasil (BBAS3) recuaram 0,69%, mostrando desempenho inferior ao índice no pregão.

Dia (19), às 18h40, o portal UOL (Reuters) (https://economia.uol.com.br/noticias/reuters/2025/12/19/ibovespa-avanca-apoiado-por-itau-e-bradesco-em-dia-com-vencimento-de-opcoes.htm), com aproximadamente 272 mil acessos por dia, publicou: “Ibovespa avança apoiado por Itaú e Bradesco em dia com vencimento de opções”. O pregão fechou com recuo de 0,69% para as ações do Banco do Brasil (BBAS3).","[InfoMoney,Terra,UOL (Reuters)]","[https://economia.uol.com.br/noticias/reuters/2025/12/19/ibovespa-avanca-apoiado-por-itau-e-bradesco-em-dia-com-vencimento-de-opcoes.htm,https://www.infomoney.com.br/mercados/ibovespa-avanca-apoiado-por-itau-e-bradesco-em-dia-com-vencimento-de-opcoes/,https://www.terra.com.br/economia/ibovespa-avanca-apoiado-por-itau-e-bradesco-em-dia-com-vencimento-de-opcoes,e45f8a2c1d40de22f9c90d14dc33535b8nk4swge.html]",,false,[],[INSTITUTIONAL_BALANCES_AND_RESULTS],[INSTITUTIONAL]
d5cfb880-3ccc-4c74-a507-f042aea64b42,2025-12-21 13:30:00.000000 UTC,MAILING_SENT,"[PRESS,SOCIAL_MEDIA]","[ABUSIVE_CONDUCT,LABOR_ISSUES]","[ONE_RELEVANT_VEHICLE,MENTIONS_BB_IN_TITLE,MENTIONS_BB_IN_SUBTITLE,BB_IMAGE_OR_VIDEO,NICHE_PUBLISHER,THREE_RELEVANT_VEHICLES,GROUP_B,GROUP_A]",[MICRO_INFLUENCER],[INTERACTIONS_250],[EXPOSURE_TIME_ABOVE_24H],"[UNIONS_EMPLOYEES,PRESS_JOURNALISTS,POLITICAL_ACTORS_PUBLIC_AGENCIES]",LEVEL_3,Justiça do Trabalho determina suspensão de coação a funcionários em programa de aumento de jornada do Banco do Brasil,"Dia (21), às 05h00, o portal G1 (https://g1.globo.com/economia/noticia/2025/12/21/justica-proibe-banco-do-brasil-de-coagir-funcionarios-a-elevar-jornada-de-trabalho-e-impoe-multa.ghtml), com aproximadamente 4 milhões de acessos por dia, publicou: “Justiça proíbe Banco do Brasil de coagir funcionários a elevar jornada de trabalho e impõe multa”.

Dia (20), às 18h30, o portal Poder 360 (https://www.poder360.com.br/poder-justica/bb-coagiu-funcionarios-a-aumentar-a-jornada-de-trabalho-diz-juiza/ ), com aproximadamente 376 mil acessos por dia, publicou: “BB coagiu funcionários a aumentar a jornada de trabalho, diz juíza”.

Dia (20), às 14h00, o perfil @df.bancarios Bancários DF publicou no Instagram (https://www.instagram.com/p/DSfSzGbDnkK/ ): ""✊🏾⚖️ Vitória dos bancários: Justiça barra descomissionamentos no BB"". A Justiça do Trabalho concedeu liminar favorável ao Sindicato dos Bancários de Brasília e suspendeu imediatamente qualquer ato de descomissionamento ligado ao Movimento de Aceleração Digital e aos Movimentos Estruturantes do Banco do Brasil. A decisão reconhece que o banco vinha adotando uma prática abusiva, impondo pressão aos trabalhadores para aceitar a jornada de 8 horas sob ameaça de perda salarial. O perfil possui 10,1 mil seguidores, com alcance estimado de 3.717 contas. A publicação acumula 129 interações até o momento.

Dia (20), às 12h00, o perfil @df.bancarios Bancários DF publicou no Instagram (https://www.instagram.com/reels/DSfhfrqDpLw/ ): ""✊🏾⚖️ Vitória judicial barra descomissionamentos no BB"". O perfil possui 10,1 mil seguidores, com alcance estimado de 3.717 contas. A publicação acumula 325 interações até o momento.

Envios Anteriores:

Dia (20), às 10h31, o portal Folha de S.Paulo – Painel SA (https://www1.folha.uol.com.br/colunas/painelsa/2025/12/banco-do-brasil-coagiu-funcionarios-diz-justica-do-trabalho.shtml), com aproximadamente 427 mil acessos por dia, publicou: “Banco do Brasil coagiu funcionários em programa de aumento de jornada, diz Justiça do Trabalho”. A Justiça do Trabalho determinou que o Banco do Brasil suspenda imediatamente qualquer ato de descomissionamento, dispensa de função ou redução salarial de assessores de unidades estratégicas, caso não aceitem voluntariamente alterar a jornada de trabalho de 6 para 8 horas. A magistrada fixou multa diária de até R$ 2.000 por trabalhador, limitada a R$ 200 mil, caso o banco continue a coagir os funcionários. O programa de reestruturação pode continuar, desde que a adesão seja verdadeiramente voluntária.

A decisão também foi noticiada pelo portal do Sindicato dos Bancários de Brasília (https://bancariosdf.com.br/decisao-judicial-suspende-qualquer-ato-de-descomissionamento-no-bb/), reforçando a luta pelos direitos.","[G1,Poder 360 e outros]","[https://g1.globo.com/economia/noticia/2025/12/21/justica-proibe-banco-do-brasil-de-coagir-funcionarios-a-elevar-jornada-de-trabalho-e-impoe-multa.ghtml,https://www.instagram.com/p/DSfSzGbDnkK/,https://www.instagram.com/reels/DSfhfrqDpLw/,https://www.poder360.com.br/poder-justica/bb-coagiu-funcionarios-a-aumentar-a-jornada-de-trabalho-diz-juiza/]",,true,[5c59fbe2-d4af-4bf6-be21-eec77957ea36],"[PEOPLE_EMPLOYEES,PEOPLE_UNIONS]",[PEOPLE]
